Role,Skill,Count
Business Administration,Python,0
Business Administration,SQL,0
Business Administration,Pandas,0
Business Administration,NumPy,0
Business Administration,FastAPI,0
Business Administration,Flask,0
Business Administration,Django,0
Business Administration,Docker,0
Business Administration,Kubernetes,0
Business Administration,AWS,0
Business Administration,Azure,0
Business Administration,GCP,0
Business Administration,Git,0
Business Administration,Linux,0
Business Administration,React,0
Business Administration,JavaScript,0
Business Administration,TypeScript,0
Business Administration,Node.js,0
Business Administration,MongoDB,0
Business Administration,PostgreSQL,0
Business Administration,MySQL,0
Business Administration,Redis,0
Business Administration,Kafka,0
Business Administration,Spark,0
Business Administration,Airflow,0
Business Administration,TensorFlow,0
Business Administration,PyTorch,0
Business Administration,Power BI,0
Business Administration,Tableau,0
Business Administration,Excel,0
Business Administration,REST,0
Business Administration,GraphQL,0
Business Development Representative Cambridge,Git,1
Business Development Representative Cambridge,Excel,1
Business Development Representative Cambridge,REST,1
Business Development Representative Cambridge,Python,0
Business Development Representative Cambridge,SQL,0
Business Development Representative Cambridge,Pandas,0
Business Development Representative Cambridge,NumPy,0
Business Development Representative Cambridge,FastAPI,0
Business Development Representative Cambridge,Flask,0
Business Development Representative Cambridge,Django,0
Business Development Representative Cambridge,Docker,0
Business Development Representative Cambridge,Kubernetes,0
Business Development Representative Cambridge,AWS,0
Business Development Representative Cambridge,Azure,0
Business Development Representative Cambridge,GCP,0
Business Development Representative Cambridge,Linux,0
Business Development Representative Cambridge,React,0
Business Development Representative Cambridge,JavaScript,0
Business Development Representative Cambridge,TypeScript,0
Business Development Representative Cambridge,Node.js,0
Business Development Representative Cambridge,MongoDB,0
Business Development Representative Cambridge,PostgreSQL,0
Business Development Representative Cambridge,MySQL,0
Business Development Representative Cambridge,Redis,0
Business Development Representative Cambridge,Kafka,0
Business Development Representative Cambridge,Spark,0
Business Development Representative Cambridge,Airflow,0
Business Development Representative Cambridge,TensorFlow,0
Business Development Representative Cambridge,PyTorch,0
Business Development Representative Cambridge,Power BI,0
Business Development Representative Cambridge,Tableau,0
Business Development Representative Cambridge,GraphQL,0
Cable Jointer,Git,1
Cable Jointer,Excel,1
Cable Jointer,REST,1
Cable Jointer,Python,0
Cable Jointer,SQL,0
Cable Jointer,Pandas,0
Cable Jointer,NumPy,0
Cable Jointer,FastAPI,0
Cable Jointer,Flask,0
Cable Jointer,Django,0
Cable Jointer,Docker,0
Cable Jointer,Kubernetes,0
Cable Jointer,AWS,0
Cable Jointer,Azure,0
Cable Jointer,GCP,0
Cable Jointer,Linux,0
Cable Jointer,React,0
Cable Jointer,JavaScript,0
Cable Jointer,TypeScript,0
Cable Jointer,Node.js,0
Cable Jointer,MongoDB,0
Cable Jointer,PostgreSQL,0
Cable Jointer,MySQL,0
Cable Jointer,Redis,0
Cable Jointer,Kafka,0
Cable Jointer,Spark,0
Cable Jointer,Airflow,0
Cable Jointer,TensorFlow,0
Cable Jointer,PyTorch,0
Cable Jointer,Power BI,0
Cable Jointer,Tableau,0
Cable Jointer,GraphQL,0
Captain,Git,1
Captain,Excel,1
Captain,Python,0
Captain,SQL,0
Captain,Pandas,0
Captain,NumPy,0
Captain,FastAPI,0
Captain,Flask,0
Captain,Django,0
Captain,Docker,0
Captain,Kubernetes,0
Captain,AWS,0
Captain,Azure,0
Captain,GCP,0
Captain,Linux,0
Captain,React,0
Captain,JavaScript,0
Captain,TypeScript,0
Captain,Node.js,0
Captain,MongoDB,0
Captain,PostgreSQL,0
Captain,MySQL,0
Captain,Redis,0
Captain,Kafka,0
Captain,Spark,0
Captain,Airflow,0
Captain,TensorFlow,0
Captain,PyTorch,0
Captain,Power BI,0
Captain,Tableau,0
Captain,REST,0
Captain,GraphQL,0
Caretaker Manor Park Primary School,REST,1
Caretaker Manor Park Primary School,Python,0
Caretaker Manor Park Primary School,SQL,0
Caretaker Manor Park Primary School,Pandas,0
Caretaker Manor Park Primary School,NumPy,0
Caretaker Manor Park Primary School,FastAPI,0
Caretaker Manor Park Primary School,Flask,0
Caretaker Manor Park Primary School,Django,0
Caretaker Manor Park Primary School,Docker,0
Caretaker Manor Park Primary School,Kubernetes,0
Caretaker Manor Park Primary School,AWS,0
Caretaker Manor Park Primary School,Azure,0
Caretaker Manor Park Primary School,GCP,0
Caretaker Manor Park Primary School,Git,0
Caretaker Manor Park Primary School,Linux,0
Caretaker Manor Park Primary School,React,0
Caretaker Manor Park Primary School,JavaScript,0
Caretaker Manor Park Primary School,TypeScript,0
Caretaker Manor Park Primary School,Node.js,0
Caretaker Manor Park Primary School,MongoDB,0
Caretaker Manor Park Primary School,PostgreSQL,0
Caretaker Manor Park Primary School,MySQL,0
Caretaker Manor Park Primary School,Redis,0
Caretaker Manor Park Primary School,Kafka,0
Caretaker Manor Park Primary School,Spark,0
Caretaker Manor Park Primary School,Airflow,0
Caretaker Manor Park Primary School,TensorFlow,0
Caretaker Manor Park Primary School,PyTorch,0
Caretaker Manor Park Primary School,Power BI,0
Caretaker Manor Park Primary School,Tableau,0
Caretaker Manor Park Primary School,Excel,0
Caretaker Manor Park Primary School,GraphQL,0
Casino Technician,Git,1
Casino Technician,Excel,1
Casino Technician,Python,0
Casino Technician,SQL,0
Casino Technician,Pandas,0
Casino Technician,NumPy,0
Casino Technician,FastAPI,0
Casino Technician,Flask,0
Casino Technician,Django,0
Casino Technician,Docker,0
Casino Technician,Kubernetes,0
Casino Technician,AWS,0
Casino Technician,Azure,0
Casino Technician,GCP,0
Casino Technician,Linux,0
Casino Technician,React,0
Casino Technician,JavaScript,0
Casino Technician,TypeScript,0
Casino Technician,Node.js,0
Casino Technician,MongoDB,0
Casino Technician,PostgreSQL,0
Casino Technician,MySQL,0
Casino Technician,Redis,0
Casino Technician,Kafka,0
Casino Technician,Spark,0
Casino Technician,Airflow,0
Casino Technician,TensorFlow,0
Casino Technician,PyTorch,0
Casino Technician,Power BI,0
Casino Technician,Tableau,0
Casino Technician,REST,0
Casino Technician,GraphQL,0
Chief Financial Officer,Git,1
Chief Financial Officer,Python,0
Chief Financial Officer,SQL,0
Chief Financial Officer,Pandas,0
Chief Financial Officer,NumPy,0
Chief Financial Officer,FastAPI,0
Chief Financial Officer,Flask,0
Chief Financial Officer,Django,0
Chief Financial Officer,Docker,0
Chief Financial Officer,Kubernetes,0
Chief Financial Officer,AWS,0
Chief Financial Officer,Azure,0
Chief Financial Officer,GCP,0
Chief Financial Officer,Linux,0
Chief Financial Officer,React,0
Chief Financial Officer,JavaScript,0
Chief Financial Officer,TypeScript,0
Chief Financial Officer,Node.js,0
Chief Financial Officer,MongoDB,0
Chief Financial Officer,PostgreSQL,0
Chief Financial Officer,MySQL,0
Chief Financial Officer,Redis,0
Chief Financial Officer,Kafka,0
Chief Financial Officer,Spark,0
Chief Financial Officer,Airflow,0
Chief Financial Officer,TensorFlow,0
Chief Financial Officer,PyTorch,0
Chief Financial Officer,Power BI,0
Chief Financial Officer,Tableau,0
Chief Financial Officer,Excel,0
Chief Financial Officer,REST,0
Chief Financial Officer,GraphQL,0
Coach Acad̩mico,Git,1
Coach Acad̩mico,Excel,1
Coach Acad̩mico,Python,0
Coach Acad̩mico,SQL,0
Coach Acad̩mico,Pandas,0
Coach Acad̩mico,NumPy,0
Coach Acad̩mico,FastAPI,0
Coach Acad̩mico,Flask,0
Coach Acad̩mico,Django,0
Coach Acad̩mico,Docker,0
Coach Acad̩mico,Kubernetes,0
Coach Acad̩mico,AWS,0
Coach Acad̩mico,Azure,0
Coach Acad̩mico,GCP,0
Coach Acad̩mico,Linux,0
Coach Acad̩mico,React,0
Coach Acad̩mico,JavaScript,0
Coach Acad̩mico,TypeScript,0
Coach Acad̩mico,Node.js,0
Coach Acad̩mico,MongoDB,0
Coach Acad̩mico,PostgreSQL,0
Coach Acad̩mico,MySQL,0
Coach Acad̩mico,Redis,0
Coach Acad̩mico,Kafka,0
Coach Acad̩mico,Spark,0
Coach Acad̩mico,Airflow,0
Coach Acad̩mico,TensorFlow,0
Coach Acad̩mico,PyTorch,0
Coach Acad̩mico,Power BI,0
Coach Acad̩mico,Tableau,0
Coach Acad̩mico,REST,0
Coach Acad̩mico,GraphQL,0
Collections Manager,Git,1
Collections Manager,Excel,1
Collections Manager,Python,0
Collections Manager,SQL,0
Collections Manager,Pandas,0
Collections Manager,NumPy,0
Collections Manager,FastAPI,0
Collections Manager,Flask,0
Collections Manager,Django,0
Collections Manager,Docker,0
Collections Manager,Kubernetes,0
Collections Manager,AWS,0
Collections Manager,Azure,0
Collections Manager,GCP,0
Collections Manager,Linux,0
Collections Manager,React,0
Collections Manager,JavaScript,0
Collections Manager,TypeScript,0
Collections Manager,Node.js,0
Collections Manager,MongoDB,0
Collections Manager,PostgreSQL,0
Collections Manager,MySQL,0
Collections Manager,Redis,0
Collections Manager,Kafka,0
Collections Manager,Spark,0
Collections Manager,Airflow,0
Collections Manager,TensorFlow,0
Collections Manager,PyTorch,0
Collections Manager,Power BI,0
Collections Manager,Tableau,0
Collections Manager,REST,0
Collections Manager,GraphQL,0
Common Energy,Python,0
Common Energy,SQL,0
Common Energy,Pandas,0
Common Energy,NumPy,0
Common Energy,FastAPI,0
Common Energy,Flask,0
Common Energy,Django,0
Common Energy,Docker,0
Common Energy,Kubernetes,0
Common Energy,AWS,0
Common Energy,Azure,0
Common Energy,GCP,0
Common Energy,Git,0
Common Energy,Linux,0
Common Energy,React,0
Common Energy,JavaScript,0
Common Energy,TypeScript,0
Common Energy,Node.js,0
Common Energy,MongoDB,0
Common Energy,PostgreSQL,0
Common Energy,MySQL,0
Common Energy,Redis,0
Common Energy,Kafka,0
Common Energy,Spark,0
Common Energy,Airflow,0
Common Energy,TensorFlow,0
Common Energy,PyTorch,0
Common Energy,Power BI,0
Common Energy,Tableau,0
Common Energy,Excel,0
Common Energy,REST,0
Common Energy,GraphQL,0
Competency Assessor Operations,Python,0
Competency Assessor Operations,SQL,0
Competency Assessor Operations,Pandas,0
Competency Assessor Operations,NumPy,0
Competency Assessor Operations,FastAPI,0
Competency Assessor Operations,Flask,0
Competency Assessor Operations,Django,0
Competency Assessor Operations,Docker,0
Competency Assessor Operations,Kubernetes,0
Competency Assessor Operations,AWS,0
Competency Assessor Operations,Azure,0
